run_id,strategy,duration_sec,duration_human,ok,scored,score_present,failure_category,missing_score_reason,exit_code
run_001,direct_json_ir_no_translate,53.41,53.4s,True,True,True,completed,,0
run_002,direct_json_ir_no_translate,70.03,1.2m,True,True,True,completed,,0
run_003,direct_json_ir_no_translate,61.21,1.0m,True,True,True,completed,,0
run_004,direct_json_ir_no_translate,70.35,1.2m,False,True,True,completed_with_errors,,0
run_005,direct_json_ir_no_translate,94.13,1.6m,True,True,True,completed,,0
run_006,direct_json_ir_no_translate,46.67,46.7s,True,True,True,completed,,0
run_007,direct_json_ir_no_translate,30.19,30.2s,True,True,True,completed,,0
run_008,direct_json_ir_no_translate,58.38,58.4s,True,True,True,completed,,0
run_009,direct_json_ir_no_translate,39.31,39.3s,True,True,True,completed,,0
run_101,direct_json_ir_no_translate,25.51,25.5s,True,True,True,completed,,0
run_102,direct_json_ir_no_translate,55.87,55.9s,False,True,True,completed_with_errors,,0
run_103,direct_json_ir_no_translate,22.76,22.8s,True,True,True,completed,,0
run_104,direct_json_ir_no_translate,36.56,36.6s,True,True,True,completed,,0
run_105,direct_json_ir_no_translate,25.41,25.4s,True,True,True,completed,,0
run_106,direct_json_ir_no_translate,29.09,29.1s,True,True,True,completed,,0
run_107,direct_json_ir_no_translate,88.59,1.5m,True,True,True,completed,,0
run_108,direct_json_ir_no_translate,63.37,1.1m,True,True,True,completed,,0
run_109,direct_json_ir_no_translate,90.2,1.5m,True,True,True,completed,,0
run_110,direct_json_ir_no_translate,64.23,1.1m,True,True,True,completed,,0
run_111,direct_json_ir_no_translate,58.68,58.7s,True,True,True,completed,,0
run_112,direct_json_ir_no_translate,95.82,1.6m,True,True,True,completed,,0
run_113,direct_json_ir_no_translate,38.36,38.4s,True,True,True,completed,,0
run_114,direct_json_ir_no_translate,37.64,37.6s,True,True,True,completed,,0
run_115,direct_json_ir_no_translate,76.74,1.3m,False,False,False,law_compilation,law_compilation_failed,1
run_116,direct_json_ir_no_translate,35.53,35.5s,True,True,True,completed,,0
run_117,direct_json_ir_no_translate,76.43,1.3m,False,False,False,law_compilation,law_compilation_failed,1
run_118,direct_json_ir_no_translate,68.91,1.1m,True,True,True,completed,,0
run_119,direct_json_ir_no_translate,48.98,49.0s,True,True,True,completed,,0
run_120,direct_json_ir_no_translate,39.75,39.8s,True,True,True,completed,,0
run_201,direct_json_ir_no_translate,23.12,23.1s,True,True,True,completed,,0
run_202,direct_json_ir_no_translate,27.43,27.4s,True,True,True,completed,,0
run_203,direct_json_ir_no_translate,90.36,1.5m,True,True,True,completed,,0
run_204,direct_json_ir_no_translate,65.17,1.1m,True,True,True,completed,,0
run_205,direct_json_ir_no_translate,73.21,1.2m,True,True,True,completed,,0
run_206,direct_json_ir_no_translate,44.56,44.6s,True,True,True,completed,,0
run_207,direct_json_ir_no_translate,27.16,27.2s,True,True,True,completed,,0
run_208,direct_json_ir_no_translate,43.08,43.1s,True,True,True,completed,,0
